,index,caption
33,45,"A bright, compact flux centroid is located slightly left of center. From it, a faint, diffuse, irregular lobe extends predominantly downwards and to the right. No distinct jets are observed emanating from the centroid. No other significant sources are present in the image."
34,46,"Two bright, elongated flux centroids are visible in the lower-center, one to the lower-left, one to the lower-right. These diffuse lobes curve inwards, appearing to originate from a very faint central region and extend outward. No distinct jets are seen. No other significant sources are present."
35,47,"Two bright flux centroids are visible. One elongated, vertical, is located slightly below center. The other, above and right of center, displays a curved 'V'-shaped morphology. No central galaxy is apparent. These are two distinct, complex structures; no clear associated jets or lobes with a common origin are present."
36,48,"An extended, bright, diffuse region, roughly elongated, is slightly top-left of center. Its brightest centroid is within this irregular, lobe-like structure. No distinct jets are evident. A separate, compact, bright point source appears in the bottom-right quadrant."
,,"Two bright centroids are present, one bottom-left, one top-right of center. They are connected by fainter extended emission, forming a linear structure originating from a compact central source and terminating at the centroids. No other prominent sources are visible in the image."
38,50,"Two bright flux centroids are observed left and right of a faint central source. Diffuse emission, consistent with lobes, originates from the central region and terminates at these centroids. No other distinct sources are present."
39,51,"Two bright, compact flux centroids are located in the image center, horizontally separated. The left centroid is slightly extended, as is the right. No distinct lobes or jets are observed originating from or terminating at these centroids. No other sources are visible."
40,52,"Two bright, slightly extended flux centroids are vertically aligned near the image center. The upper centroid is brighter. No distinct lobes or jets originate from or end at these centroids. No other prominent sources are present."
41,53,"A central, bright, elongated source shows two flux centroids: one upper-left, one lower-right. These are connected by continuous emission, forming symmetric lobes originating centrally and extending outwards. A fainter, distinct source is visible in the bottom-right corner, unassociated with the main structure."
42,54,"A prominent, double-peaked flux centroid is centrally located, appearing as two horizontally aligned, closely spaced bright sources. No extended lobes or clear jets are observed originating from this central feature. A very faint, diffuse source is also present on the far right of the image."
43,55,"Two bright flux centroids are centrally located, one slightly left and one slightly right. They are connected by a fainter, elongated bridge, forming a bimodal structure. No distinct jets or other sources are observed."
44,56,"A central, elongated structure dominates. Two bright flux centroids appear bottom-left and top-right. These are the ends of two extended lobes originating from a fainter central region. Several very faint, point-like sources are also scattered, unassociated with this main structure."
45,57,"Two bright centroids are present: one slightly right of center, another to its upper-left. A diffuse, elongated structure forms two lobes originating between them, terminating at these bright centroids. A faint, compact source is present at the bottom right."
46,58,"A central compact source in the mid-left emits two bright, extended lobes. One lobe extends diagonally to the upper-right, and another to the lower-left, both showing complex morphology. Two distinct, compact point sources are visible in the bottom-right quadrant, unrelated to the main structure."
47,59,"Two bright flux centroids are observed. The left source is compact, located in the lower-left. The right source, in the mid-right, exhibits a bright core with an extended lobe originating from it, pointing rightwards. No central galaxy or additional sources are apparent in the image."
48,60,"Two bright, closely spaced flux centroids are seen slightly top-right of center. They are surrounded by a fainter, diffuse, and irregular emission. Distinct lobes or collimated jets, with clear origins and ends, are not discernible from these centroids. No other significant radio sources are present."
49,61,"Two bright, compact flux centroids are visible in the center-left. The left centroid is slightly brighter than the right. No extended lobes or jets are apparent from these centroids. No other distinct sources are present in the field."
50,62,"Two bright, closely spaced flux centroids are located slightly below the image center. They show some elongation, but no distinct lobes or jets are clearly resolved. No other sources are observed within the field."
51,63,"Two bright flux centroids dominate: one in the upper-center-left, and a slightly fainter one in the center. The lower centroid displays a diffuse, irregular lobe extending to the bottom-right. No distinct jets are visible. No other unrelated sources are apparent in the field."
52,64,"A bright central complex contains two prominent flux centroids, slightly left and right of center. Diffuse, S-shaped emission emanates from this central region, extending diagonally outwards from the centroids. No distinct separate sources are visible elsewhere in the field."
53,65,"A bright, S-shaped extended source dominates the image center. It displays two primary flux centroids: one upper-left, one lower-right. Diffuse emission forms this structure, originating centrally and extending roughly horizontally. Several faint, point-like sources are unassociated background features."
54,66,"Two bright, merged flux centroids are located near the image center, elongated along a top-left to bottom-right axis. No distinct extended lobes or jets are visible originating from these centroids. No other significant sources are present within the field."
55,67,"A dominant, bright, extended flux centroid is slightly top-left of center. A fainter, clumpy lobe extends from its lower-right flank, trending towards the bottom-right. No distinct jets are visible. Several faint, point-like sources are scattered across the field, unassociated with the main structure."
56,68,"Two bright, extended flux centroids are present: one to the left and one to the right, slightly offset from the image center. They appear as large lobes, seemingly associated with a faint, compact source located centrally between them. No distinct jets are observed. No other prominent, unassociated sources are visible."
57,69,"A bright, vertically elongated source is centered, featuring two closely-spaced flux centroids, one slightly above the other, forming an ""I"" shape. These short, diffuse extensions originate from and are intrinsic to the central source. No distinct lobes, jets, or other sources are present."
58,70,"Two bright, compact flux centroids are centrally located, connected by diffuse emission forming a slightly curved, elongated structure. This double-lobed or bent-jet morphology originates centrally and extends outwards. No other significant sources are present."
59,71,"A bright, elongated source is centrally located, extending from bottom-left to top-right. It exhibits two distinct flux centroids within this extension, creating a double-lobed morphology. No other sources are visible within the image frame."
60,72,"Two bright flux centroids are centrally located, slightly left and right. They are embedded within a fainter, elongated, diffuse emission region, extending horizontally and connecting the centroids. This structure presents an extended envelope, but lacks clear, distinct jets or well-defined lobes. Several faint point sources are also visible, unassociated with the main feature."
61,73,"A central, extended radio source features two bright flux centroids: one left of center, and a brighter one to the right. A diffuse, elongated structure connects and surrounds these centroids, extending horizontally. No distinct lobes or jets are observed, nor other significant sources."
62,74,"Two bright, extended flux centroids are located in the upper-middle and lower-middle. Faint, diffuse emission extends from the central region to these two lobes. Several very faint, isolated point sources are also visible across the field, unassociated with the main structure."
63,75,"A bright, elongated central source is observed, comprising two closely spaced flux centroids slightly left and right of the image center. No extended lobes or distinct jets are apparent. No other sources are visible within the field of view."
64,76,"Two bright flux centroids are visible, one in the upper-center, the other in the lower-center. An elongated, fainter structure connects the lower-center centroid to the upper-center centroid. No other distinct sources are present."
65,77,"A resolved central source exhibits two closely spaced flux centroids, one slightly left-center, one right-center. No distinct lobes or jets originate from this morphology. No other significant sources are present in the field."
66,78,"A bright, elongated, curved emission feature dominates the image center. A primary flux centroid is centrally located, from which the feature extends diagonally upward and right. It lacks distinct symmetric lobes or collimated jets. Faint, scattered points are marginally visible elsewhere."
67,79,"Two distinct, bright flux centroids are centrally located, very close together. No clear extended lobes or jets are observed originating from these centroids, nor are there any other discernible sources in the image."
68,80,"A bright, elongated flux centroid is in the upper-middle, with diffuse emission extending left, possibly a lobe/jet originating from its core. A distinct, bright, elongated source is in the lower-right. A fainter, compact source lies below the primary centroid. These two are not associated with the central complex."
69,81,"The image displays two distinct bright flux centroids. One is located left of center, appearing slightly elongated. The other is right of center, more compact. No distinct extended lobes or jets originating from a central source are apparent connecting or extending significantly from these features. No other prominent sources are present."
70,82,"Two distinct bright flux centroids are observed. One is slightly left of center, appearing somewhat resolved. The second, more point-like source is located in the top-right. No associated lobes or jets are visible originating from either centroid. Both sources are morphologically distinct."
71,83,"Two bright, compact flux centroids are located near the image center, slightly left and right. No extended lobes or jets are associated with these central sources. A very faint, diffuse source is visible towards the far right, unassociated with the primary central emission."
72,84,"Two bright flux centroids dominate the image. The left centroid is complex and extended, located left of center. The right centroid is more compact, situated right of center. These two structures appear as distinct lobes, seemingly originating from a central region between them and extending outwards. No other prominent sources are present."
73,85,"A bright, irregularly shaped flux centroid is centered in the image, showing a faint, diffuse extension toward the bottom-right. No distinct, collimated lobes or jets are resolved. The extension originates from the main centroid. No other significant sources are apparent within the field."
74,86,"Two bright, unresolved centroids are centrally located, forming a compact, double-lobed structure. No extended jets or large-scale lobes are apparent. A fainter, unresolved point source is also visible in the upper-center of the image."
75,87,"Two bright, diffuse flux centroids are prominent: one in the top-center, and another in the bottom-center. No clear jets or well-defined lobes originate from a central point. Several fainter, compact sources are unassociated with these main features, scattered across the field."
76,88,"Two bright, elongated flux centroids are centrally located, one left and one right, appearing connected. These extended regions constitute the primary emission. No distinct lobes or jets are clearly resolved originating from or ending beyond these centroids. No other significant sources are apparent."
77,89,"Two bright, vertically elongated flux centroids are present, one in the top-center and another in the bottom-center. Both exhibit diffuse, extended morphology. No clear jets or connecting lobes are evident, nor is a central origin visible. Faint, scattered emission lies between them."
78,90,"A central elongated structure dominates, featuring two bright flux centroids: one to the left-center, the other to the right-center. This structure originates from a fainter central region and extends bilaterally. Several faint, unassociated point sources are scattered in the background."
79,91,"A central, vertically elongated source dominates the image. It comprises two bright flux centroids: one slightly above center, and another immediately below it. These centroids are embedded within the elongated structure, which extends a short distance upward and downward, appearing as compact lobes or jets originating from the central region. No other sources are present."
80,92,"Two bright, slightly elongated flux centroids are vertically aligned near the image center. One is above center, the other below. No central source, distinct lobes, or jets are visibly associated with them. No other significant sources are apparent within the field."
81,93,"Two bright, elongated flux centroids are centered, one left and one right. They form a double-lobed structure originating from an unresolved central region. This structure extends horizontally outwards. A very faint, unassociated point source is present in the upper-left."
82,94,"Two bright, compact flux centroids are centrally located, forming an elongated, double-lobed structure. This structure appears to emanate from a fainter central region, extending horizontally. No distinct jets are visible, but a faint bridge connects the lobes. Several much fainter, point-like background sources are also present."
83,95,"A bright, vertically-aligned double-peaked flux centroid is observed near the image center. The two peaks form a single, elongated core structure. No distinct lobes or jets are present, and no other sources are visible within the field of view."
84,96,"Two bright, diffuse lobes are in the left-center and right-center. Faint, string-of-pearls emission, resembling jets, connects them to a central source. The jets originate from the central source and terminate in the lobes. An unassociated point source is in the bottom-right, with other faint points scattered."
85,97,"A bright, elongated structure occupies the image center. Two primary flux centroids are present centrally, with extended, bilobed emission originating from the center and extending horizontally left and right. Several faint, unassociated point sources are scattered in the background, particularly lower left."
86,98,"A single, centrally located, vertically elongated source is observed. It displays two bright flux centroids: one slightly above and one slightly below the image center. These centroids are connected by diffuse emission, forming a singular, extended structure. No distinct lobes or jets are resolved, and no other sources are visible."
87,99,"Two bright flux centroids are observed: one in the top-left, one in the top-right. Each centroid is associated with a diffuse, elongated lobe. The left lobe extends from its centroid towards the bottom-right. The right lobe extends from its centroid towards the bottom-left. No other distinct sources are present."
0,101,"Two bright, horizontally separated flux centroids dominate the image center. They appear as peaks of an extended, double-lobed structure originating from the center and extending laterally. No distinct jets are visible. No other significant sources are present."
1,102,"A bright central component exhibits bilateral, extended structures. A prominent, compact lobe is located to the far right. An elongated, diffuse region with multiple brighter centroids extends to the left, originating from the center. These structures span horizontally across the image. Several faint, unassociated point sources are visible."
0,103,"Two bright flux centroids are centered, forming a horizontally elongated, double-lobed structure. These lobes originate from an unresolved central region and extend outwards to the left and right. Fainter emission connects them. No clear jets are visible. No other prominent sources are observed."
1,104,"A bright, compact central source is flanked by two extended, diffuse lobes of flux, one to the left and one to the right. Faint linear features connect the central source to these lobes. The brightest centroid is within the right lobe. Several unassociated, faint point sources are scattered throughout the field."
2,105,"A prominent, extended flux centroid is near the image center, featuring a bright core with an elongated structure extending primarily from bottom-left to top-right, resembling bent lobes or jets. A faint, compact point source is also visible to the left, unassociated with the central structure."
3,106,"A bright, elongated flux structure with a prominent core is centrally located. Fainter extensions originate from this core, extending horizontally. A distinct, compact flux source is observed below and slightly left of the main elongated structure, unassociated."
4,107,"Two bright flux centroids dominate the image center. An upper centroid is associated with a curved, extended plume reaching towards the top-left. A lower centroid has a similar curved plume extending towards the bottom-right. These features appear to originate from a central, fainter region. No other distinct sources are visible."
5,108,"A bright, irregular source is slightly above image center. Its dominant flux centroid is upper-left, from which an elongated structure extends diagonally to the lower-right, blending into the source's diffuse emission. A fainter centroid lies within this extension. Several faint point sources are visible across the field."
6,109,"A very bright central centroid features two elongated, collimated structures. One extends towards the top-left, ending in a bright centroid. The other extends towards the bottom-right, also ending in a bright centroid. Both originate from the central region. Several faint point sources are scattered across the field, unassociated with the main emission."
7,110,"A central, elongated source exhibits two bright flux centroids. Diffuse emission forms a bar-like structure, originating and terminating at these central centroids. Multiple faint, unassociated point sources are visible across the field, one prominent in the top-right."
8,111,"Two bright flux centroids are vertically aligned in the top-center. A diffuse, elongated lobe extends downwards and slightly left from these centroids, originating near them and ending towards the bottom-left. No other distinct sources are apparent within the field of view."
9,112,"A bright flux centroid is slightly left of center, with a fainter companion immediately to its right. Diffuse, clumpy emission extends from these central sources towards the mid-right, forming an irregular lobe-like structure. A distinct point source is visible in the bottom-left, and another faint source in the bottom-right."
10,113,"A bright, compact flux centroid is prominent slightly above the image center. Diffuse, extended emission forms two fainter, symmetric lobes originating from this central region, extending horizontally left and right. No distinct jets are observed. Several very faint, unresolved point sources are scattered throughout the field, unassociated with the central emission."
11,114,"A bright, compact flux centroid occupies the image center. Two diffuse, extended lobes originate from this core: one brighter lobe extends predominantly to the top-right, and a fainter one extends to the bottom-left, both fading outwards. No other distinct bright sources are observed in the image."
12,115,"A bright, compact flux centroid is located slightly above and left of center. Faint, diffuse emission extends roughly horizontally from this centroid, forming a subtle, elongated structure originating from the central source. No other distinct sources are present in the image field."
13,116,"Two bright flux centroids are centrally located. The upper-left centroid has an associated diffuse, elongated structure extending generally upwards and slightly right. The lower-right centroid displays a similar diffuse structure extending downwards and slightly left. These structures appear to originate from their respective centroids and fade outwards. No other distinct sources are visible."
14,117,"A bright, compact flux centroid is located slightly below the image center. An elongated lobe/jet originates from this centroid, extending upwards and slightly right before fading. Several faint, scattered point-like sources are present across the field, appearing unassociated with the central structure."
15,118,"A bright central centroid dominates, with a fainter, slightly extended centroid directly below it. Diffuse, extended emission forms a bipolar morphology, appearing to originate from the central source, extending vertically. The lower extension connects to the second bright centroid. No other distinct sources are visible."
16,119,"A bright, compact central flux centroid is present. Two diffuse, elongated lobes extend diagonally from this central point: one to the top-left, the other to the bottom-right. These structures originate from the central centroid and extend outwards. No other distinct sources are observed in the image."
17,120,"A prominent, elongated, vertically-oriented flux centroid is near the image center. A cluster of diffuse centroids resides in the top-right. Several compact, fainter sources are scattered to the left and bottom-left. No clear jets or extended lobes are evident from the central source, and the other sources appear unassociated."
,121,"Two extended flux regions are present. A bright, curved, arc-like structure dominates the center-right. A fainter, diffuse extended region lies in the upper-left. No central point source or distinct narrow jets are apparent. The emission comprises these two spatially separated, broad features."
18,122,"A bright, complex flux centroid occupies the image center. Two extended, diffuse lobes originate from it, bending. One extends left and slightly down, while another extends right and slightly up, forming a wide S-shape. A few faint, point-like sources are scattered unassociated with the central emission."
19,123,"A bright flux centroid is prominent at the image center. Diffuse, irregular emission extends outwards from this centroid, forming a brighter, extended structure primarily to the right and a fainter extension to the left. No other distinct sources are observed."
20,124,"A diffuse, curved emission region with several bright centroids occupies the center-left. Faint, lobe-like extensions originate and curve downwards from this main region. A distinct, compact, bright centroid is located in the top-center, appearing unassociated with the central emission."
21,125,"A bright, compact central flux centroid is present. Two extended, diffuse lobes originate from this center, extending vertically upwards and downwards, terminating in brighter, more compact flux centroids. Multiple faint, point-like sources are scattered throughout the field, unassociated with the main structure."
22,126,"A bright, curved flux centroid is slightly left of center. A prominent jet-like feature extends from it to the far right, gradually fading. A fainter, diffuse lobe is visible to its left, associated with the centroid. Several faint, diffuse sources are scattered in the image, particularly on the far left, unassociated with the central emission."
23,127,"A single, bright, elongated and curved radio source is centrally located. The brightest centroid lies within this structure, which extends from top-center to bottom-center. No distinct lobes or jets are observed originating from a central point. Several very faint, unresolved sources are scattered across the field."
24,128,"A single bright flux centroid is slightly right of center. Faint, diffuse emission extends horizontally from it, forming a broad, symmetric lobe-like structure that fades outwards to the left and right. No other distinct sources are observed."
25,129,"A bright, compact flux centroid dominates the image center. Diffuse, extended lobe-like structures originate from this central source. One extends towards the top-left, and another to the bottom-right. No other significant sources unassociated with the central emission are present."
26,130,"A central, elongated radio source displays two bright, symmetrical lobes with distinct flux centroids. These lobes originate from a fainter central core, extending vertically outwards and gradually fading into the background. Several faint point sources are scattered throughout the field, unassociated with the main object."
27,131,"A single, very bright, compact flux centroid dominates the image center. Faint, diffuse emission extends primarily southward from this core. No distinct lobes or jets are observed originating from this central source, nor are any other unassociated sources present in the field."
28,132,"A bright centroid is visible center-right. An elongated, bright jet originates from it, extending towards center-left, broadening into a diffuse lobe. A fainter, diffuse lobe is also present to the right of the central centroid. No other unassociated sources are apparent."
29,133,"A bright, elongated flux centroid is centrally located, extending vertically. It shows a slightly brighter core with diffuse emission extending upwards and downwards from it. No distinct lobes or jets are separately visible, but the primary source itself is elongated. Several faint, point-like sources are scattered, unassociated with the central emission."
30,134,"A bright, vertically elongated flux centroid is centered, showing diffuse vertical extension from its core. A distinct, compact bright source appears to the lower right, unassociated with the central structure. No clear collimated jets or discrete lobes are evident."
31,135,"A bright, compact flux centroid is slightly left of center. From this, diffuse emission extends, forming a prominent elongated lobe to the right and fainter, more diffuse emission to the left. No other distinct sources are apparent in the image."
32,136,"Two bright, compact flux centroids are located left and right of the image center. Each centroid is associated with an extended, diffuse lobe-like structure curving outwards. These lobes originate from their respective centroids and extend towards the edges of the central emission. No other distinct sources are present."
33,137,"A bright, compact flux centroid is located slightly left of the image center. A diffuse, elongated lobe extends from this centroid towards the upper right, becoming fainter. No other distinct sources are visible in the field."
34,138,"A bright, compact flux centroid is located slightly above the image center. From it, a fainter, extended feature projects downwards, terminating in a more diffuse, elongated lobe. This creates a one-sided structure. No other distinct sources are apparent within the field."
,139,"A bright central flux centroid is evident. Two distinct, collimated structures originate from this center, extending diagonally: one towards the top-right and the other towards the bottom-left. Several faint, compact, unassociated sources are scattered throughout the field, not connected to the central emission."
35,140,"Two distinct, elongated bright flux centroids are observed. One is located slightly right of center, vertically oriented. The other is in the top-right, diagonally oriented. No clear lobes or jets originate from these centroids. No other prominent sources are detected."
36,141,"A bright, extended flux centroid is prominent in the upper-left, with a less bright centroid towards the lower-right. These are connected by diffuse, elongated emission, forming a continuous structure oriented diagonally. No distinct lobes or jets are observed originating from a central point, nor are any other sources present."
37,142,"A bright, elongated flux centroid is present slightly left of center. No clear lobes or jets are associated with this primary emission. A fainter, compact source is observed to the far right, unassociated with the main centroid."
38,143,"Two bright flux centroids dominate near the image center. The upper-right centroid shows an elongated diffuse structure extending towards the upper-right. The lower-left centroid has a similar diffuse structure extending towards the lower-left. Several faint, point-like sources are also scattered throughout the field, unassociated with the main structure."
39,144,"A bright central flux centroid is visible. Two diffuse, clumpy lobes originate from this center, extending roughly vertically, one upwards and one downwards. No distinct jets are apparent. Several faint, isolated point sources are scattered throughout the field, unassociated with the central emission."
40,145,"A bright, elongated flux centroid is observed slightly above the image center, with a fainter, clumpy centroid below it. Irregular, diffuse emission connects and extends vertically from these main components. A few very faint, point-like sources are scattered in the field, unassociated with the primary structure."
41,146,"A very bright, compact flux centroid is located in the top-left, accompanied by a fainter, elongated structure below it. A diffuse, irregular, ring-like emission is near the image center. No clear jets or lobes connect the bright top-left sources to the central structure. The top-left emission appears unassociated with the central source."
42,147,"Two opposing, bright flux centroids are observed in the image center. Diffuse, elongated lobes extend horizontally outwards from this central region, passing through and beyond the centroids, fading at their extremities. Faint linear features connect the central source to the bright centroids. No other unassociated sources are evident."
43,148,"A bright, compact flux centroid is slightly left of center. To its right, a diffuse, less bright centroid connects to a fainter, extended lobe curving towards the top-right. This entire structure appears associated. No distinct unassociated sources are visible in the image."
44,149,"A bright, irregular flux centroid is located slightly left of center. It exhibits an extended, curved morphology, appearing as a distorted lobe or jet originating from its brightest part and extending to the right and upwards before curving. No other distinct sources are present."
45,150,"A bright, complex flux centroid is centrally located, exhibiting an irregular, slightly elongated morphology. No distinct lobes or jets are observed originating from a central point. Several faint, point-like sources are present in the field, unassociated with the main central emission."
